plant_name, cell_fname,leaf_id,leaf_orientation










Ceratostigma_minus,3-07-400x-1-01,3.7,abaxial
Ceratostigma_minus,3-07-400x-1-02,3.7,abaxial
Ceratostigma_minus,3-07-400x-1-03,3.7,abaxial
Ceratostigma_minus,3-07-400x-1-04,3.7,abaxial
Ceratostigma_minus,3-07-400x-2-01,3.7,adaxial
Ceratostigma_minus,3-07-400x-2-02,3.7,adaxial
Ceratostigma_minus,3-07-400x-2-03,3.7,adaxial
Ceratostigma_minus,3-07-400x-2-04,3.7,adaxial












Rosa_mollis,3-15-700x-1-01,3.15,adaxial
Rosa_mollis,3-15-700x-1-02,3.15,adaxial
Rosa_mollis,3-15-700x-1-03,3.15,adaxial
Rosa_mollis,3-15-700x-1-04,3.15,adaxial
Rosa_mollis,3-15-700x-1-05,3.15,adaxial
Rosa_mollis,3-15-700x-2-01,3.15,abaxial
Rosa_mollis,3-15-700x-2-02,3.15,abaxial
Rosa_mollis,3-15-700x-2-03,3.15,abaxial
Rosa_mollis,3-15-700x-2-04,3.15,abaxial
Rosa_mollis,3-15-700x-2-05,3.15,abaxial
Persicaria_virginiana,4-01-700x-1-01,4.1,abaxial
Persicaria_virginiana,4-01-700x-1-02,4.1,abaxial
Persicaria_virginiana,4-01-700x-1-03,4.1,abaxial
Persicaria_virginiana,4-01-700x-1-04,4.1,abaxial
Persicaria_virginiana,4-01-700x-2-01,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-02,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-03,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-04,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-05,4.1,adaxial
Persicaria_virginiana,4-01-700x-2-06,4.1,adaxial
Polygonum_chinense,4-02-700x-1-01,4.2,abaxial
Polygonum_chinense,4-02-700x-1-02,4.2,abaxial
Polygonum_chinense,4-02-700x-1-03,4.2,abaxial
Polygonum_chinense,4-02-700x-1-04,4.2,abaxial
Polygonum_chinense,4-02-700x-1-05,4.2,abaxial
Polygonum_chinense,4-02-700x-2-01,4.2,adaxial
Polygonum_chinense,4-02-700x-2-02,4.2,adaxial
Polygonum_chinense,4-02-700x-2-03,4.2,adaxial
Polygonum_chinense,4-02-700x-2-04,4.2,adaxial
Polygonum_chinense,4-02-700x-2-05,4.2,adaxial












Paeonia_tenuifolia,4-15-400x-2-01,4.15,adaxial
Paeonia_tenuifolia,4-15-400x-2-02,4.15,adaxial
Paeonia_tenuifolia,4-15-400x-2-03,4.15,adaxial
Paeonia_tenuifolia,4-15-400x-2-04,4.15,adaxial
Aconitum_carmichaelii,4-17-400x-1-01,4.17,abaxial
Aconitum_carmichaelii,4-17-400x-1-02,4.17,abaxial
Aconitum_carmichaelii,4-17-400x-1-03,4.17,abaxial
Aconitum_carmichaelii,4-17-400x-1-04,4.17,abaxial
Aconitum_carmichaelii,4-17-400x-1-05,4.17,abaxial
Aconitum_carmichaelii,4-17-400x-2-01,4.17,adaxial
Aconitum_carmichaelii,4-17-400x-2-02,4.17,adaxial
Aconitum_carmichaelii,4-17-400x-2-03,4.17,adaxial
